CLIENT_id,surv_time,status,extra_attempts,main_extra_attempt,stuck,mean_time
189,0,0,0,NA,antiriciclaggio,0
190,0,0,0,NA,antiriciclaggio,0
191,0.08333333333333333,0,2,anagrafica-c,anagrafica-d,0.0104166666666667
191,0.08333333333333333,0,2,anagrafica-c,antiriciclaggio,0.0104166666666667
192,4374.283333333334,0,1,contract-activation,contract-activation,486.031481481482
193,0,0,0,NA,antiriciclaggio,0
194,0,0,0,NA,antiriciclaggio,0
195,5.3,0,0,NA,contract-subscription,0.757142857142857
196,0,0,0,NA,antiriciclaggio,0
197,0,0,0,NA,antiriciclaggio,0
198,0,0,0,NA,antiriciclaggio,0
199,0,0,0,NA,codice-fiscale,0
200,0,0,2,antiriciclaggio,antiriciclaggio,0
200,0,0,2,antiriciclaggio,antiriciclaggio,0
200,0,0,2,antiriciclaggio,antiriciclaggio,0
201,0,0,0,NA,antiriciclaggio,0
202,0.31666666666666665,0,2,anagrafica-c,contract-subscription,0.0351851851851852
203,0,0,0,NA,antiriciclaggio,0
204,0.1,0,0,NA,contract-subscription,0.0142857142857143
205,0.1,0,0,NA,antiriciclaggio,0.025
206,0.31666666666666665,0,0,NA,contract-subscription,0.0452380952380952
207,0.35,0,1,anagrafica-a,contract-subscription,0.04375
208,0,0,0,NA,anagrafica-c,0
209,0,0,0,NA,antiriciclaggio,0
210,0,0,0,NA,anagrafica-a,0
210,0,0,0,NA,anagrafica-b,0
210,0,0,0,NA,codice-fiscale,0
211,0.13333333333333333,0,0,NA,antiriciclaggio,0.0222222222222222
212,0,0,0,NA,antiriciclaggio,0
213,0.06666666666666667,0,0,NA,contract-subscription,0.0111111111111111
214,0,0,0,NA,codice-fiscale,0
215,0.08333333333333333,0,1,codice-fiscale,antiriciclaggio,0.0119047619047619
216,0,0,0,NA,antiriciclaggio,0
217,0,0,0,NA,antiriciclaggio,0
218,0,0,0,NA,anagrafica-a,0
218,0,0,0,NA,anagrafica-b,0
219,0,0,0,NA,anagrafica-b,0
220,6235.4,0,0,NA,antiriciclaggio,3117.7
221,86.35,0,0,NA,contract-subscription,14.3916666666667
222,0,0,0,NA,antiriciclaggio,0
223,0,0,0,NA,antiriciclaggio,0
224,0,0,0,NA,antiriciclaggio,0
225,0.13333333333333333,0,0,NA,contract-subscription,0.019047619047619
226,0,1,0,NA,conclude,0
227,0.15,0,0,NA,anagrafica-d,0.025
227,0.15,0,0,NA,antiriciclaggio,0.025
228,0,1,0,NA,conclude,0
229,0,0,0,NA,antiriciclaggio,0
230,0.1,0,0,NA,contract-subscription,0.0142857142857143
231,0,0,0,NA,antiriciclaggio,0
232,0,0,0,NA,antiriciclaggio,0
233,0,0,0,NA,antiriciclaggio,0
234,0,0,0,NA,antiriciclaggio,0
235,0.16666666666666666,0,0,NA,antiriciclaggio,0.0416666666666667
236,0.05,0,0,NA,contract-subscription,0.0125
237,1959.05,0,0,NA,contract-activation,979.525
238,0,0,0,NA,antiriciclaggio,0
239,0,0,0,NA,antiriciclaggio,0
240,0,0,0,NA,antiriciclaggio,0
241,0.5,1,0,NA,conclude,0.0625
241,0.5,1,0,NA,contract-subscription,0.0625
242,0,0,0,NA,antiriciclaggio,0
243,0.06666666666666667,0,0,NA,anagrafica-d,0.0111111111111111
243,0.06666666666666667,0,0,NA,antiriciclaggio,0.0111111111111111
244,46.016666666666666,1,7,anagrafica-a,conclude,3.06777777777778
244,46.016666666666666,1,7,anagrafica-a,contract-subscription,3.06777777777778
245,0.016666666666666666,0,0,NA,anagrafica-a,0.00555555555555556
245,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
246,0.016666666666666666,0,0,NA,anagrafica-a,0.00833333333333333
247,29.483333333333334,0,0,NA,contract-subscription,4.21190476190476
248,0,0,0,NA,antiriciclaggio,0
249,0,0,0,NA,antiriciclaggio,0
250,0,0,0,NA,antiriciclaggio,0
251,0,0,0,NA,anagrafica-a,0
251,0,0,0,NA,anagrafica-b,0
251,0,0,0,NA,codice-fiscale,0
252,0,0,0,NA,antiriciclaggio,0
253,0.16666666666666666,0,0,NA,contract-subscription,0.0238095238095238
254,0,0,0,NA,antiriciclaggio,0
255,0,1,0,NA,conclude,0
256,0,0,0,NA,antiriciclaggio,0
257,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
258,0.6333333333333333,0,0,NA,anagrafica-b,0.211111111111111
259,0,0,0,NA,antiriciclaggio,0
260,0,0,0,NA,antiriciclaggio,0
261,0.16666666666666666,1,0,NA,conclude,0.0208333333333333
262,0,0,0,NA,antiriciclaggio,0
263,0,0,0,NA,antiriciclaggio,0
264,0.3333333333333333,0,0,NA,contract-subscription,0.0476190476190476
265,0,1,0,NA,conclude,0
266,0.26666666666666666,1,0,NA,conclude,0.0444444444444444
266,0.26666666666666666,1,0,NA,contract-subscription,0.0444444444444444
267,0,1,0,NA,conclude,0
268,9.4,0,0,NA,contract-subscription,2.35
269,5319.1,0,8,contract-activation,contract-activation,591.011111111111
270,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
271,1096.6,0,0,NA,contract-subscription,156.657142857143
272,0.06666666666666667,0,0,NA,anagrafica-d,0.0111111111111111
272,0.06666666666666667,0,0,NA,antiriciclaggio,0.0111111111111111
273,0,0,0,NA,antiriciclaggio,0
274,0,0,0,NA,antiriciclaggio,0
275,0,0,0,NA,antiriciclaggio,0
